,Slot,PRB,User,App,Slice,Throughput
147,7,0,7,3,2,563.8106293344
148,7,1,4,2,1,22.010626444799996
149,7,2,7,3,2,563.8106293344
150,7,3,13,5,3,563.8106293344
151,7,5,6,3,2,739.0490603328001
152,7,6,14,5,3,739.0490603328001
153,7,7,4,2,1,126.7021867776
154,7,8,7,3,2,563.8106293344
155,7,9,7,3,2,563.8106293344
156,7,10,7,3,2,563.8106293344
157,7,12,4,2,1,22.010626444799996
158,7,13,6,3,2,601.9059396672001
159,7,14,13,5,3,276.5437528896
160,7,15,13,5,3,276.5437528896
161,7,16,6,3,2,480.00093966720004
162,7,17,6,3,2,480.00093966720004
163,7,18,13,5,3,480.00093966720004
164,7,19,6,3,2,480.00093966720004
165,7,20,6,3,2,563.8106293344
166,7,22,14,5,3,480.00093966720004
167,7,23,4,2,1,54.462186777599996
168,8,0,7,3,2,563.8106293344
169,8,1,4,2,1,22.010626444799996
170,8,2,7,3,2,563.8106293344
171,8,3,13,5,3,563.8106293344
172,8,5,6,3,2,739.0490603328001
173,8,6,14,5,3,739.0490603328001
174,8,7,4,2,1,126.7021867776
175,8,8,7,3,2,563.8106293344
176,8,9,7,3,2,563.8106293344
177,8,10,7,3,2,563.8106293344
178,8,12,4,2,1,22.010626444799996
179,8,13,6,3,2,601.9059396672001
180,8,14,13,5,3,276.5437528896
181,8,15,13,5,3,276.5437528896
182,8,16,6,3,2,480.00093966720004
183,8,17,6,3,2,480.00093966720004
184,8,18,13,5,3,480.00093966720004
185,8,19,6,3,2,480.00093966720004
186,8,20,6,3,2,563.8106293344
187,8,22,14,5,3,480.00093966720004
188,8,23,4,2,1,54.462186777599996
189,9,0,7,3,2,563.8106293344
190,9,1,4,2,1,22.010626444799996
191,9,2,7,3,2,563.8106293344
192,9,3,13,5,3,563.8106293344
193,9,5,6,4,2,739.0490603328001
194,9,6,14,5,3,739.0490603328001
195,9,7,4,2,1,126.7021867776
196,9,8,7,3,2,563.8106293344
197,9,9,7,3,2,563.8106293344
198,9,10,7,3,2,563.8106293344
199,9,12,4,2,1,22.010626444799996
200,9,13,6,4,2,601.9059396672001
201,9,14,13,5,3,276.5437528896
202,9,15,13,5,3,276.5437528896
203,9,16,6,4,2,480.00093966720004
204,9,17,6,4,2,480.00093966720004
205,9,18,13,5,3,480.00093966720004
206,9,19,6,4,2,480.00093966720004
207,9,20,6,4,2,563.8106293344
208,9,22,14,5,3,480.00093966720004
209,9,23,4,2,1,54.462186777599996
